ID,Label
10000,0
10001,1
10002,0
10003,1
10004,1
10005,1
10006,1
10007,1
10008,1
10009,1
10010,1
10011,1
10012,1
10013,0
10014,0
10015,0
10016,0
10017,0
10018,1
10019,0
10020,0
10021,0
10022,0
10023,1
10024,1
10025,1
10026,0
10027,0
10028,0
10029,1
10030,0
10031,1
10032,1
10033,1
10034,1
10035,1
10036,1
10037,0
10038,0
10039,1
10040,0
10041,0
10042,0
10043,0
10044,0
10045,1
10046,1
10047,0
10048,1
10049,1
10050,1
10051,0
10052,1
10053,1
10054,1
10055,0
10056,0
10057,1
10058,1
10059,0
10060,1
10061,0
10062,0
10063,0
10064,1
10065,0
10066,0
10067,1
10068,1
10069,0
10070,1
10071,0
10072,0
10073,0
10074,1
10075,1
10076,1
10077,1
10078,0
10079,0
10080,0
10081,0
10082,1
10083,1
10084,0
10085,1
10086,0
10087,1
10088,0
10089,0
10090,0
10091,0
10092,0
10093,0
10094,0
10095,0
10096,0
10097,0
10098,1
10099,0
10100,1
10101,1
10102,1
10103,1
10104,1
10105,1
10106,1
10107,1
10108,0
10109,0
10110,0
10111,1
10112,1
10113,0
10114,1
10115,1
10116,0
10117,0
10118,1
10119,0
10120,1
10121,1
10122,1
10123,0
10124,0
10125,0
10126,0
10127,0
10128,0
10129,1
10130,1
10131,1
10132,0
10133,1
10134,1
10135,0
10136,0
10137,0
10138,0
10139,1
10140,1
10141,1
10142,0
10143,0
10144,0
10145,1
10146,1
10147,0
10148,1
10149,0
10150,0
10151,0
10152,1
10153,0
10154,0
10155,1
10156,0
10157,0
10158,1
10159,0
10160,0
10161,0
10162,0
10163,1
10164,1
10165,1
10166,1
10167,1
10168,1
10169,0
10170,0
10171,1
10172,0
10173,1
10174,0
10175,0
10176,1
10177,0
10178,1
10179,0
10180,1
10181,0
10182,0
10183,1
10184,1
10185,0
10186,0
10187,0
10188,1
10189,0
10190,0
10191,0
10192,1
10193,1
10194,0
10195,1
10196,1
10197,0
10198,0
10199,1
10200,0
10201,1
10202,0
10203,1
10204,0
10205,1
10206,0
10207,0
10208,1
10209,1
10210,1
10211,1
10212,0
10213,0
10214,0
10215,0
