ID,Label
10000,1
10001,0
10002,0
10003,1
10004,1
10005,0
10006,0
10007,0
10008,1
10009,0
10010,0
10011,0
10012,1
10013,0
10014,0
10015,1
10016,0
10017,1
10018,0
10019,1
10020,0
10021,1
10022,0
10023,1
10024,0
10025,1
10026,0
10027,0
10028,1
10029,1
10030,1
10031,0
10032,0
10033,1
10034,0
10035,1
10036,1
10037,1
10038,0
10039,1
10040,0
10041,1
10042,0
10043,0
10044,0
10045,1
10046,0
10047,0
10048,0
10049,0
10050,0
10051,1
10052,0
10053,0
10054,0
10055,0
10056,0
10057,0
10058,1
10059,1
10060,1
10061,0
10062,1
10063,0
10064,0
10065,1
10066,1
10067,0
10068,1
10069,0
10070,0
10071,1
10072,1
10073,0
10074,1
10075,0
10076,0
10077,1
10078,0
10079,1
10080,0
10081,0
10082,0
10083,1
10084,0
10085,1
10086,1
10087,1
10088,1
10089,0
10090,1
10091,0
10092,0
10093,0
10094,0
10095,0
10096,1
10097,1
10098,1
10099,1
10100,0
10101,0
10102,0
10103,0
10104,0
10105,1
10106,0
10107,0
10108,1
10109,1
10110,1
10111,1
10112,0
10113,1
10114,1
10115,1
10116,1
10117,1
10118,0
10119,0
10120,0
10121,1
10122,1
10123,0
10124,0
10125,0
10126,0
10127,1
10128,0
10129,0
10130,0
10131,1
10132,0
10133,1
10134,0
10135,0
10136,1
10137,1
10138,1
10139,0
10140,0
10141,0
10142,0
10143,0
10144,0
10145,0
10146,1
10147,0
10148,1
10149,1
10150,0
10151,1
10152,0
10153,0
10154,0
10155,0
10156,0
10157,1
10158,1
10159,0
10160,1
10161,0
10162,0
10163,0
10164,0
10165,1
10166,1
10167,0
10168,0
10169,1
10170,1
10171,0
10172,0
10173,0
10174,1
10175,0
10176,0
10177,0
10178,1
10179,0
10180,0
10181,1
10182,1
10183,1
10184,0
10185,0
10186,0
10187,0
10188,1
10189,1
10190,0
10191,0
10192,1
10193,0
10194,0
10195,1
10196,1
10197,0
10198,0
10199,0
10200,0
10201,1
10202,0
10203,0
10204,0
10205,0
10206,1
10207,0
10208,1
10209,0
10210,1
10211,0
10212,1
10213,0
10214,1
10215,0
10216,1
10217,0
10218,1
10219,0
10220,0
10221,1
10222,1
10223,0
10224,1
10225,0
10226,0
10227,0
10228,1
10229,0
10230,1
10231,1
10232,1
10233,1
10234,0
10235,1
10236,0
10237,1
10238,1
10239,0
10240,1
10241,1
10242,0
10243,1
10244,1
10245,0
10246,1
10247,0
10248,0
10249,0
10250,1
10251,0
10252,0
10253,1
10254,1
10255,0
10256,0
10257,1
10258,0
10259,1
10260,0
10261,1
10262,1
10263,0
10264,0
10265,1
10266,1
10267,1
10268,1
10269,1
10270,1
10271,0
10272,1
10273,0
10274,1
10275,0
10276,1
10277,0
10278,1
10279,1
10280,0
10281,0
10282,0
10283,1
10284,0
10285,1
10286,0
10287,1
10288,1
10289,1
10290,0
10291,1
10292,0
10293,1
10294,0
10295,0
10296,0
10297,0
10298,0
10299,1
10300,1
10301,0
10302,1
10303,0
10304,0
10305,1
10306,1
10307,1
10308,0
10309,1
10310,0
10311,1
10312,1
10313,1
10314,1
10315,1
10316,0
10317,0
10318,0
10319,0
10320,0
10321,1
10322,0
10323,0
10324,0
10325,1
10326,1
10327,0
10328,0
10329,0
10330,0
10331,1
10332,1
10333,0
10334,1
10335,0
10336,0
10337,0
10338,1
10339,0
10340,0
10341,0
10342,1
10343,0
10344,1
10345,1
10346,0
10347,1
10348,0
10349,0
10350,0
10351,1
10352,0
10353,0
10354,1
10355,0
10356,0
10357,0
10358,0
10359,0
10360,0
10361,0
10362,0
10363,1
10364,1
10365,0
10366,0
10367,0
10368,0
10369,0
10370,1
10371,0
10372,1
10373,0
10374,0
10375,0
10376,0
10377,1
10378,0
10379,0
10380,1
10381,1
10382,0
10383,1
10384,1
10385,1
10386,0
10387,1
10388,1
10389,1
10390,0
10391,1
10392,0
10393,1
10394,1
10395,1
10396,0
10397,0
10398,0
10399,1
10400,1
10401,0
10402,0
10403,0
10404,1
10405,0
10406,0
10407,1
10408,1
10409,0
10410,0
10411,1
10412,0
10413,0
10414,0
10415,1
10416,1
10417,1
10418,0
10419,1
10420,1
10421,0
10422,1
10423,0
10424,0
10425,0
10426,0
10427,0
10428,0
10429,1
10430,1
10431,1
10432,0
10433,0
10434,1
10435,0
10436,0
10437,1
10438,0
10439,1
10440,1
10441,0
10442,1
10443,0
10444,0
10445,1
10446,0
10447,1
10448,0
10449,0
10450,0
10451,1
10452,0
10453,1
10454,1
10455,0
10456,0
10457,1
10458,1
10459,1
10460,0
10461,1
10462,0
10463,0
10464,0
10465,0
10466,1
10467,0
10468,1
10469,1
10470,0
10471,1
10472,0
10473,1
10474,1
10475,0
10476,0
10477,1
10478,0
10479,0
10480,0
10481,0
10482,0
10483,1
10484,1
10485,0
10486,1
10487,1
10488,0
10489,1
10490,1
10491,0
10492,1
10493,0
10494,0
10495,1
10496,1
10497,0
10498,0
10499,0
10500,0
10501,1
10502,1
10503,1
10504,0
10505,0
10506,0
10507,1
10508,1
10509,0
10510,0
10511,0
10512,0
10513,0
10514,0
10515,0
10516,0
10517,1
10518,1
10519,0
10520,0
10521,1
